,location_id,year_id,sex_id,cause_id,age_group_id,mean_submission,mean_ensemble,super_region,risk,rei_id,location_name,rei_name,cause_name
0,7,2016,1,493,15,0.10406695719,0.143498881168,"Southeast Asia, East Asia, and Oceania",metab_fpg_cont,105,North Korea,High fasting plasma glucose,Ischemic heart disease
1,7,2016,2,493,15,0.14690052259,0.145517903183,"Southeast Asia, East Asia, and Oceania",metab_fpg_cont,105,North Korea,High fasting plasma glucose,Ischemic heart disease
2,8,2016,1,493,15,0.22180817793,0.236715542081,"Southeast Asia, East Asia, and Oceania",metab_fpg_cont,105,Taiwan,High fasting plasma glucose,Ischemic heart disease
3,8,2016,2,493,15,0.19892781087,0.20169868747,"Southeast Asia, East Asia, and Oceania",metab_fpg_cont,105,Taiwan,High fasting plasma glucose,Ischemic heart disease
4,10,2016,1,493,15,0.0998352564,0.150697038145,"Southeast Asia, East Asia, and Oceania",metab_fpg_cont,105,Cambodia,High fasting plasma glucose,Ischemic heart disease
5,10,2016,2,493,15,0.04732018442,0.118730970656,"Southeast Asia, East Asia, and Oceania",metab_fpg_cont,105,Cambodia,High fasting plasma glucose,Ischemic heart disease
6,12,2016,1,493,15,0.11394365974,0.166991437551,"Southeast Asia, East Asia, and Oceania",metab_fpg_cont,105,Laos,High fasting plasma glucose,Ischemic heart disease
7,12,2016,2,493,15,0.11737618171,0.194299154753,"Southeast Asia, East Asia, and Oceania",metab_fpg_cont,105,Laos,High fasting plasma glucose,Ischemic heart disease
8,13,2016,1,493,15,0.20126301175,0.182831591965,"Southeast Asia, East Asia, and Oceania",metab_fpg_cont,105,Malaysia,High fasting plasma glucose,Ischemic heart disease
9,13,2016,2,493,15,0.17175737386,0.195460190202,"Southeast Asia, East Asia, and Oceania",metab_fpg_cont,105,Malaysia,High fasting plasma glucose,Ischemic heart disease
10,14,2016,1,493,15,0.18292084626,0.155963715467,"Southeast Asia, East Asia, and Oceania",metab_fpg_cont,105,Maldives,High fasting plasma glucose,Ischemic heart disease
